30,17
SPAWN_POINT,1696,416,0,1
0,0,-1
0,1,-1
0,2,-1
0,3,-1
0,4,-1
0,5,-1
0,6,-1
0,7,-1
0,8,-1
0,9,-1
0,10,-1
0,11,-1
0,12,-1
0,13,-1
0,14,-1
0,15,-1
0,16,-1
1,0,-1
1,1,-1
1,2,-1
1,3,-1
1,4,-1
1,5,-1
1,6,27
1,7,49
1,8,16
1,9,5
1,10,11
1,11,-1
1,12,-1
1,13,-1
1,14,-1
1,15,-1
1,16,-1
2,0,-1
2,1,-1
2,2,20
2,3,36
2,4,36
2,5,36
2,6,29
2,7,38
2,8,28
2,9,38
2,10,12
2,11,36
2,12,36
2,13,36
2,14,41
2,15,-1
2,16,-1
3,0,-1
3,1,-1
3,2,19
3,3,38
3,4,38
3,5,38
3,6,38
3,7,38
3,8,28
3,9,38
3,10,38
3,11,38
3,12,38
3,13,38
3,14,58
3,15,-1
3,16,-1
4,0,-1
4,1,-1
4,2,19
4,3,38
4,4,45
4,5,39
4,6,6
4,7,38
4,8,28
4,9,38
4,10,50
4,11,39
4,12,1
4,13,38
4,14,58
4,15,-1
4,16,-1
5,0,-1
5,1,-1
5,2,19
5,3,38
5,4,55
5,5,14
5,6,7
5,7,13
5,8,40
5,9,30
5,10,51
5,11,32
5,12,53
5,13,38
5,14,58
5,15,-1
5,16,-1
6,0,-1
6,1,-1
6,2,34
6,3,38
6,4,38
6,5,18
6,6,-1
6,7,-1
6,8,-1
6,9,-1
6,10,-1
6,11,33
6,12,38
6,13,38
6,14,8
6,15,-1
6,16,-1
7,0,-1
7,1,-1
7,2,35
7,3,56
7,4,38
7,5,55
7,6,14
7,7,-1
7,8,-1
7,9,-1
7,10,32
7,11,53
7,12,38
7,13,54
7,14,9
7,15,-1
7,16,-1
8,0,-1
8,1,-1
8,2,-1
8,3,34
8,4,38
8,5,38
8,6,18
8,7,-1
8,8,-1
8,9,-1
8,10,33
8,11,38
8,12,38
8,13,8
8,14,-1
8,15,-1
8,16,-1
9,0,-1
