30,17
SPAWN_POINT,608,544,-1,0
0,0,-1
0,1,-1
0,2,-1
0,3,-1
0,4,-1
0,5,-1
0,6,-1
0,7,-1
0,8,-1
0,9,-1
0,10,-1
0,11,-1
0,12,-1
0,13,-1
0,14,-1
0,15,-1
0,16,-1
1,0,20
1,1,36
1,2,36
1,3,36
1,4,36
1,5,16
1,6,36
1,7,36
1,8,36
1,9,36
1,10,36
1,11,36
1,12,36
1,13,36
1,14,36
1,15,36
1,16,41
2,0,19
2,1,45
2,2,39
2,3,39
2,4,39
2,5,40
2,6,39
2,7,1
2,8,45
2,9,39
2,10,39
2,11,39
2,12,39
2,13,39
2,14,39
2,15,1
2,16,58
3,0,19
3,1,58
3,2,-1
3,3,-1
3,4,-1
3,5,-1
3,6,-1
3,7,19
3,8,58
3,9,-1
3,10,-1
3,11,-1
3,12,-1
3,13,-1
3,14,-1
3,15,19
3,16,58
4,0,19
4,1,58
4,2,-1
4,3,-1
4,4,-1
4,5,-1
4,6,-1
4,7,19
4,8,55
4,9,31
4,10,-1
4,11,-1
4,12,-1
4,13,-1
4,14,-1
4,15,19
4,16,58
5,0,19
5,1,58
5,2,-1
5,3,-1
5,4,-1
5,5,-1
5,6,-1
5,7,19
5,8,38
5,9,44
5,10,-1
5,11,-1
5,12,-1
5,13,-1
5,14,-1
5,15,19
5,16,58
6,0,19
6,1,58
6,2,-1
6,3,-1
6,4,-1
6,5,-1
6,6,-1
6,7,19
6,8,38
6,9,58
6,10,-1
6,11,-1
6,12,-1
6,13,-1
6,14,-1
6,15,19
6,16,58
7,0,19
7,1,58
7,2,-1
7,3,-1
7,4,-1
7,5,-1
7,6,-1
7,7,19
7,8,38
7,9,58
7,10,-1
7,11,-1
7,12,-1
7,13,-1
7,14,-1
7,15,19
7,16,58
8,0,19
8,1,58
8,2,-1
8,3,-1
8,4,-1
8,5,-1
8,6,-1
8,7,19
8,8,38
8,9,58
8,10,-1
8,11,-1
8,12,-1
8,13,-1
8,14,-1
8,15,19
8,16,58
